call,poison_groups,poison_reward_mean,poison_std_mean,hardneg_groups,hardneg_reward_mean,hardneg_std_mean
174,64,0.8262,0.2939,0,,
175,60,0.7604,0.3662,0,,
176,52,0.7764,0.3587,0,,
177,52,0.8173,0.3140,0,,
178,56,0.8058,0.3132,0,,
179,48,0.8021,0.3203,0,,
180,36,0.7847,0.3332,0,,
181,52,0.8077,0.3106,0,,
182,32,0.8164,0.3235,0,,
183,76,0.7878,0.3484,0,,
184,52,0.7452,0.3784,0,,
185,48,0.7865,0.3575,0,,
186,40,0.8187,0.2958,0,,
187,60,0.8104,0.3118,0,,
